HANDLE,REF,PLTG,OWNR,MP,ADRES,LOC,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
2,,53DA4B-5,OEC,,355 south center,,,sec dL 29 1,,,,,,,23 1,,,,,,,,,,strain only plank s,JNTTRANS
3,,53DA4B-4,OEC,,353 south center,,,sec 23 3,,,,,,,20 8,,,,,,,,,,riser down,JNTPL
4,,53DA4B-3,OEC,,349 south center,,,sec 25 10,,,,,,,21 2,,,,,,,,,,,JNTPL
5,,207301D7034,OEC,,349 south center,,,neu 29 2,,,,,,,23 7,,,,,,,,,,,JNTPL
6,,NT,OEC,,349 south center,across from opportunity st.,neu 24,sec dL 23 3,,22,,,,,20 11,,,,,,,,,,,JNTTRANS
7,,53DA1C-16,OEC,,,,,sec 23 4,,,,,,,21 1,,,,,,,,,,,JNTTRANS
8,,4001 001,Alltel,,s of rr tracks,,,plht 33 7,,,,,,,31 6,,,,,,,,,,,TELCOPL
9,,53DA/1C-5,OEC,,n of rr tracks,,,sec35+,,26 10,,,,,35 +,,,,,,,,,,,JNTPL
10,,53DA/1C-4,OEC,,219 south center,,,sec dL 25 4,,,,,,,21 7,,,,,,,,,,plank s,JNTTRANS
11,,NT,OEC,,309 south center,,,sec 29 2,,,,,,,22 1,,,,,,,,,,plank n,JNTPL
12,,53DA1C-10,OEC,,303 south center,,,sec 24 11,,22 2,,,,,21 1,,,,,,,,,,,JNTPL
13,,53DA1C-11,OEC,,303 south center,,,sec 27 1,,,,,,,20 7,,,,,,,,,,,JNTPL
14,,NT,OEC,,327 south center,,,sec 23 10,,,,,,,20 1,,,,,,,,,,,JNTTRANS
15,,NT,OEC,,337 south center,,,sec 24 2,,21 11,,,,,19 10,,,,,,,,,,,JNTPL
16,,53DA1C-14,OEC,,337 south center,,,sec 23 10,,,,,,,21 3,,,,,,,,,,,JNTPL
17,,53DA1B-23,OEC,,s of W Main St.,,,sec dL 24 3,,21 5,,,,,20 11,,,,,,,,,,plank e,JNTPL
18,,53DA1B-23,OEC,,206 W Main St.,s of W Main St.,,sec 24 9,,,,,,,21 2,,,,,,,,,,vines,JNTTRANS
19,,7003 001,OEC,,w of pleasant st.,,,sec 24 2,,,,,,,17 7,,,,,,,,,,plank n,JNTPL
20,,7003 002,OEC,,107 pleasant st.,w of pleasant st.,,sec 24 6,,23 7,,,,,17 4,,,,,,,,,,,JNTPL
21,,7003 003,OEC,,111 pleasant st.,,,sec 22 2,,,,,,,18 5,,,,,,,,,,,JNTTRANS
22,,NT,OEC,,n of union st. nw crnr int,,,sec 24 9,,22 2,,,,,18 10,,,,,,,,,,sw plank w,JNTPL
