HANDLE,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE,MR,PHOA
'2DF0,p riser 35' 11,"tdl 27""7'",,,,,,,22 2,,,,20 2,21 3,,,,,splice pole,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",278
'2E0C,,tdl 25 4,,23,,,,,21 2,,,,15 11,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 38 inches from lowest power.
",266
'2E28,,sec dl 27 1,,,,,,,20 11,,,,15 11,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",253
'2E44,,tdl 27,,,,,,,22,,,,16,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",276
'2E60,,sec dl 31 5,,,,,,,22 9,,,,16 5,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",285
'1A4,,sec 28 8,,dl 24 8,,,,,21 2,,,,19 8,18 9,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",266
'1C0,,n 23 11,,,,,,,23 4,,,,,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA is 5 inches above lowest power.
",292
'1DC,sec 25 3,sec dl 23 7,,,,,,,21 7,,,,,,,,,,anc e,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 12 inches from lowest power.
",271
'1F8,,sec 21 10,,,,,,,18 6,,,,,,,,,,ank w,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 28 inches from lowest power.
",234
'214,sec 28 10,sec dl 27,,,,,,,21 2,,,,20 2,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",266
'230,n 24 6,sec dl 22 9,,,,,,,19 4,,,,,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 29 inches from lowest power.
",244
'24C,,n 23 8,,,,,,,19 7,,,,,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 37 inches from lowest power.
",247
'268,,sec dl 24 2,,,,,,,22 3,,,,,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 11 inches from lowest power.
",279
'2A0,,n 24 11,,,,,,,21 2,,,,,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 33 inches from lowest power.
",266
'2BC,n 24,trans dl 22 3,,,,,,,20 3,,,,,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 12 inches from lowest power.
",255
'2F4,n 24 10,n 24 10,,,,,,,20 5,,,,,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",257
'310,pole 24 4,p 23 10 (wood),,,,,,,18 2,,,,,,,,,,change out needed,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",230
'32C,40 approx,p 35+,,,,,,,26 6,,,,,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",330
'348,,p 33,,,,,,,25 6,,,,,,,,,,ank w,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",318
