HANDLE,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
'2DF0,p riser 35' 11,"tdl 27""7'",,,,,,,22 2,,,,20 2,21 3,,,,,splice pole,JNTTRANS
'2E0C,,tdl 25 4,,23,,,,,21 2,,,,15 11,,,,,,,JNTTRANS
'2E28,,sec dl 27 1,,,,,,,20 11,,,,15 11,,,,,,,JNTPL
'2E44,,tdl 27,,,,,,,22,,,,16,,,,,,,JNTTRANS
'2E60,,sec dl 31 5,,,,,,,22 9,,,,16 5,,,,,,,JNTPL
'1A4,,sec 28 8,,dl 24 8,,,,,21 2,,,,19 8,18 9,,,,,,JNTPL
'1C0,,n 23 11,,,,,,,23 4,,,,,,,,,,,JNTPL
'1DC,sec 25 3,sec dl 23 7,,,,,,,21 7,,,,,,,,,,anc e,JNTTRANS
'1F8,,sec 21 10,,,,,,,18 6,,,,,,,,,,ank w,JNTTRANS
'214,sec 28 10,sec dl 27,,,,,,,21 2,,,,20 2,,,,,,,JNTTRANS
'230,n 24 6,sec dl 22 9,,,,,,,19 4,,,,,,,,,,,JNTTRANS
'24C,,n 23 8,,,,,,,19 7,,,,,,,,,,,JNTPL
'268,,sec dl 24 2,,,,,,,22 3,,,,,,,,,,,JNTTRANS
'2A0,,n 24 11,,,,,,,21 2,,,,,,,,,,,JNTPL
'2BC,n 24,trans dl 22 3,,,,,,,20 3,,,,,,,,,,,JNTTRANS
'2F4,n 24 10,n 24 10,,,,,,,20 5,,,,,,,,,,,JNTPL
'310,pole 24 4,p 23 10 (wood),,,,,,,18 2,,,,,,,,,,change out needed,JNTPL
'32C,40 approx,p 35+,,,,,,,26 6,,,,,,,,,,,JNTPL
'348,,p 33,,,,,,,25 6,,,,,,,,,,ank w,JNTPL
'364,sec 25 7,sec dl 24,,,,,,,22 3,,,,,,,,,,,JNTTRANS
'39C,,sec 25 3,,,,,,,20'7,,,,20 1,,,,,,,JNTPL
'3D4,,sec 25 4,,,,,,,21 6,,,,20 4,,,,,,,JNTPL
'3F0,,sec 26 8,,,,,,,21 10,,,,20 8,,,,,,,JNTTRANS
